Player,Team,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA
Tyler Cooper,Texas State,0,0,16.2,5,0,0,0,0,1.2,4,4,3,2,2,1,0.4
Tony Robie,Texas State,4,3,5.8,22,11,0,1,1,54.1,62,37,35,22,45,8,0.3
Taylor Seay,Texas State,2,0,6.05,25,0,0,0,0,19.1,24,15,13,16,17,3,0.324
Sam Hall,Texas State,1,5,5.28,12,7,1,0,1,46.0,51,27,27,15,36,7,0.28
Rhett McCaffety,Texas State,3,1,4.35,25,2,0,0,1,31.0,31,18,15,10,45,8,0.258
Peyton Zabel,Texas State,2,5,6.21,17,3,0,0,0,29.0,27,27,20,25,44,2,0.248
Otto Wofford,Texas State,2,0,5.19,23,0,0,0,2,17.1,13,11,10,12,18,2,0.203
Nicholas Holbrook,Texas State,0,1,13.5,10,0,0,0,0,6.0,5,10,9,9,6,1,0.238
Matthew Tippie,Texas State,2,1,5.48,18,0,0,1,1,21.1,17,13,13,13,27,7,0.218
Keller Eberly,Texas State,0,0,5.4,3,0,0,0,0,3.1,3,2,2,0,4,4,0.231
Jonathan Martinez,Texas State,2,3,3.21,27,0,0,0,1,33.2,34,16,12,18,35,2,0.268
Jack Stroud,Texas State,1,3,7.71,11,3,0,0,0,16.1,18,16,14,8,13,8,0.277
Drayton Brown,Texas State,2,3,3.14,15,11,1,0,0,57.1,52,28,20,24,47,6,0.233
DJ Burke,Texas State,0,0,5.4,2,0,0,0,0,1.2,1,1,1,3,2,1,0.167
Dalton Buckingham,Texas State,0,0,0.96,13,0,0,0,0,9.1,4,2,1,9,8,1,0.125
Colby Diaz,Texas State,0,0,13.5,5,0,0,0,0,4.0,6,7,6,8,0,0,0.4
Cameron O'Banan,Texas State,0,0,7.71,13,0,0,0,0,14.0,12,13,12,3,14,4,0.235
Cameron Bush,Texas State,2,0,3.57,19,6,0,0,0,45.1,50,19,18,6,27,12,0.289
Calen Graham,Texas State,0,0,7.88,10,3,0,0,0,16.0,22,14,14,7,9,3,0.333
Austin Eaton,Texas State,4,4,5.27,14,10,0,0,0,56.1,63,37,33,22,43,7,0.276
